,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
3.1.2.2,2,559,787,2089,231,2503,2077,2775,1645,618,1209,2132,2847,810,552,520,731,1457,238,516,422,715,282,408,52,505,879
1.7.1.15,102,13,16,6,1,10,40,13,23,2,2,126,12,14,49,3,49,11,1,17,0,28,0,31,9,4,23
2.3.1.176,1,31,7,6,2,3,7,2,0,32,4,57,180,6,52,4,20,20,46,21,10,14,1,29,37,1,20
1.1.1.85,7,36,107,550,1,1843,644,506,128,143,7,115,193,84,138,104,269,202,417,190,118,147,166,56,32,121,397
1.13.11.64,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.1.1.320,0,109,1,8,0,22,46,5,3,1,0,28,6,15,2,1,29,31,0,7,0,3,0,24,0,4,3
4.3.1.27,1,1,8,15,1,1,3,2,26,1,3,7,0,0,10,52,18,27,91,5,2,20,0,6,6,6,23
1.3.1.32,2,0,32,0,0,2,1,2,16,1,7,3,2,1,1,0,15,2,1,6,0,2,0,2,0,7,1
1.2.1.8,22,7,316,114,0,34,262,86,32,14,41,142,137,3,5,15,129,39,27,82,27,59,8,87,30,63,209
1.13.11.15,4,1,11,3,0,20,3,2,0,0,3,2,34,0,1,4,21,18,56,6,0,7,0,8,1,2,10
2.5.1.32,4,672,38,31,39,60,305,185,2,8,1,77,100,35,5,27,4,25,2,22,14,18,8,74,5,12,71
1.13.11.37,23,1,6,9,0,0,6,10,2,1,29,3,69,0,2,0,13,5,1,3,1,2,1,15,0,0,0
1.14.99.-,0,0,0,3,0,0,2,0,9,0,0,6,2,0,0,0,0,0,1,2,0,0,0,5,1,0,0
1.5.1.28,9,18,3,12,0,13,11,8,38,6,2,30,52,0,3,0,68,23,3,66,0,24,1,26,0,8,39
1.1.1.271,557,880,44,992,0,878,308,473,1355,1083,161,726,1438,399,777,287,703,578,993,1198,513,599,909,219,182,433,1134
2.4.1.291,113,234,73,331,0,298,139,294,174,42,105,206,159,108,228,71,192,571,607,99,14,140,7,85,58,101,156
1.7.2.4,2790,17554,930,4625,1030,4904,23708,7470,4929,2163,1104,3555,1490,887,599,1099,1243,7525,518,570,1130,989,1321,983,717,5319,3602
1.3.99.12,0,0,3,1,0,30,118,2,0,0,0,17,10,40,7,40,14,56,1,7,26,9,2,16,16,2,26
1.17.99.1,0,0,0,4,0,1,0,17,4,1,0,5,0,0,1,0,1,0,1,0,0,0,0,10,0,0,1
1.3.1.99,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15
5.3.2.6,0,0,1,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3.11.1.3,91,34,25,109,0,8,61,70,17,17,10,86,66,14,15,5,50,51,185,40,20,32,30,84,84,20,118
