,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
1.12.98.3,3,2,4,26,0,2,1,4,1,1,36,19,2,0,0,1,8,11,53,24,0,15,1,32,0,9,58
3.1.6.14,1,2,0,40,0,0,78,2,21,1,1,11,80,0,0,2,37,13,0,33,32,35,1,19,4,49,3
3.10.1.1,1,1,4,0,0,0,3,27,2,1,0,1,0,2,2,0,6,5,1,2,0,7,0,0,30,2,25
1.1.1.170,73,4,25,12,0,61,54,38,62,1,4,57,23,2,2,0,23,43,173,0,4,18,5,32,0,15,3
3.1.13.4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9,0,2,0,0,0,0,0,0,0,0
2.4.2.21,0,0,1,4,0,1,4,7,0,2,0,6,40,1,0,0,2,7,0,0,0,7,0,4,0,0,2
1.3.5.2,2,0,9,134,0,1885,4,314,4,5,2,6,0,3,90,2,67,78,2,744,920,1067,113,4,8,0,1
2.7.1.81,1,2,2,3,0,4,6,7,1,0,0,54,0,0,0,0,3,13,1,4,0,12,16,29,1,10,11
6.3.4.-,0,42,0,120,0,21,17,9,8,0,0,3,1,1,0,1,7,55,1,8,21,5,0,11,8,0,39
1.1.1.329,0,0,0,6,0,0,30,0,41,23,1,41,0,1,57,0,26,5,0,244,1,4,1,16,4,0,0
2.4.1.64,57,16,106,26,1,97,71,30,184,146,14,166,96,32,195,199,263,96,11,94,28,127,8,136,43,301,217
3.2.1.136,0,0,5,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.2.2.10,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4.19.11,175,216,34,431,9,904,1011,624,133,10,18,179,57,102,3,15,153,181,95,63,42,130,33,169,35,165,235
2.5.1.78,0,0,0,5,0,3,3,1,1,0,0,12,1,4,0,0,1,1,0,2,0,0,0,1,0,0,1
5.4.2.7,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,1,0,92,16,4,0,0,1,4,0,0,1
1.1.1.261,0,0,0,0,0,0,7,8,13,1,0,0,0,52,333,118,270,18,3,0,0,0,0,0,11,0,0
2.7.1.26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
4.4.1.21,1,0,18,319,0,169,21,8,53,2,0,39,4,0,1,0,21,107,4,28,29,49,0,15,0,82,133
2.7.7.27,0,0,26,0,0,2,6,3,0,3,1,0,2,1,1,0,2,4,1,3,9,5,0,9,1,53,38
2.3.2.13,5,77,8,37,0,12,68,40,45,8,3,252,46,74,7,75,93,72,39,195,210,477,630,1868,159,102,144
1.7.1.7,0,0,0,2,0,0,5,1,1,1,0,3,40,0,0,0,17,0,0,0,0,3,0,1,0,16,2
2.7.1.39,0,0,0,2,0,0,2,0,0,27,0,8,0,0,0,0,0,1,0,0,1,2,0,0,1,1,16
1.21.-.-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0
2.4.1.8,167,566,283,600,0,137,213,221,181,76,107,584,114,7,10,149,198,135,93,245,77,159,66,473,61,257,424
2.4.2.17,4,1,0,1,0,2,4,0,0,2,0,10,5,0,0,25,2,0,3,1,0,7,1,4,26,3,0
4.1.99.18,10,70,7,52,0,49,233,54,104,35,90,67,126,75,158,37,79,62,43,67,11,34,0,52,28,88,72
2.1.2.1,1,0,1,5,0,1,0,4,5,0,2,21,5,0,0,1,21,12,0,24,0,18,0,15,11,2,1
6.3.4.2,44,44,8,15,0,5,9,11,29,1,7,105,18,20,1,3,26,10,2,15,0,12,25,41,1,43,17
2.3.1.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
3.2.2.27,0,1,1,0,0,0,7,3,30,22,0,385,35,0,0,0,60,17,110,89,0,88,0,811,25,38,61
6.1.1.13,166,182,4,268,0,303,84,76,112,270,135,112,1,10,2,1,13,53,3,63,65,53,75,33,11,2,110
3.4.11.4,98,24,46,9,0,0,27,7,14,27,1,117,0,9,4,166,144,18,38,24,9,24,136,140,501,62,258
4.3.1.3,325,898,210,1530,1,838,1180,1660,144,23,0,267,74,144,70,486,395,585,9,148,628,158,87,214,104,646,513
3.7.1.22,0,0,0,0,0,0,2,4,0,0,0,1,3,1,0,0,0,1,0,6,0,3,0,0,0,6,2
2.7.1.92,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2.7.1.148,2,0,1,1,0,1,4,3,0,1,0,8,0,0,1,0,0,8,0,5,0,3,0,1,2,4,0
6.3.4.19,96,54,0,23,0,119,89,10,0,4,0,5,18,24,2,78,0,22,2,914,0,1044,1,1,0,0,1
1.1.1.17,37,289,86,96,0,130,58,107,22,3,3,58,29,1,47,2,83,48,5,50,13,21,30,161,34,54,155
3.6.5.-,0,41,10,1,0,12,4,18,66,0,0,34,2,0,1,1,27,3,2,6,6,11,3,20,19,1,23
2.5.1.n9,0,0,50,0,0,0,0,0,0,1,0,8,0,0,0,0,0,9,1,5,0,3,0,23,0,0,0
6.3.5.-,141,53,52,70,0,20,48,51,9,49,1,72,124,0,1,3,23,71,58,63,2,23,4,59,7,38,164
3.2.1.67,1,0,2,0,0,1,0,1,1,1,0,1,0,0,0,2,0,4,0,0,0,1,0,0,0,5,0
5.4.3.8,48,6,27,14,0,20,4,57,4,1,150,13,38,3,3,5,20,14,5,8,2,20,1,17,10,2,3
4.1.1.37,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4.4.1.19,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
5.-.-.-,2,69,4,11,0,19,1,8,1,25,3,7,5,0,3,32,8,3,8,10,0,2,14,27,4,0,5
2.7.2.8,2,36,7,13,0,16,16,2,43,0,0,1,9,0,0,5,6,5,2,23,1,13,3,27,3,7,2
3.6.1.17,0,0,15,16,0,17,2,5,18,0,1,14,0,0,0,1,17,9,1,7,0,8,0,25,3,2,0
2.8.1.10,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
5.3.1.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,9,6,0,0
3.1.3.87,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,9,0,1,6,0,0,1,20,0,3
4.2.1.109,0,0,0,0,0,0,0,1,0,0,29,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
1.7.1.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2.1.3.2,1,3,0,10,0,1,14,3,1,1,0,15,4,0,69,0,12,2,0,16,0,8,0,16,15,3,0
3.1.26.3,2,4,4,17,0,0,17,1,22,9,1,22,4,2,3,4,61,0,1,88,44,35,67,12,13,104,41
2.1.1.74,0,0,1,0,0,0,1,1,0,0,3,8,0,0,0,0,14,1,1,0,1,0,0,1,0,0,0
3.5.1.44,0,1,0,3,0,0,1,2,1,0,1,2,30,0,1,0,0,0,2,1,0,2,0,2,10,0,3
4.1.1.87,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0
2.3.3.-,58,0,0,3,0,14,3,1,0,0,0,6,1,0,2,1,0,0,1,2,0,0,0,11,0,0,0
3.2.2.30,0,1,4,68,0,27,6,6,0,1,0,12,0,0,1,1,1,42,58,0,79,7,47,3,0,19,1
2.3.1.135,0,0,0,3,0,0,0,0,12,25,0,5,0,0,0,0,0,7,65,1,14,13,4,12,0,80,49
3.6.1.45,0,122,0,45,0,68,20,22,6,8,0,15,51,0,0,0,15,13,1,10,71,16,86,12,2,11,18
1.12.5.1,68,53,38,617,0,140,64,169,71,112,123,157,99,40,62,52,75,136,305,44,109,66,45,40,11,215,57
3.5.99.7,52,247,34,156,0,63,143,48,48,1,68,22,80,0,0,17,7,95,1,34,0,15,0,6,1,52,35
5.3.1.23,0,0,0,8,0,1,0,5,0,0,0,1,0,0,0,0,0,4,0,45,11,8,0,0,0,0,1
3.1.4.17,20,17,4,157,0,53,29,158,23,3,60,57,34,25,2,2,88,107,159,40,72,58,35,8,7,82,26
1.1.5.4,1,29,2,11,0,106,33,38,34,24,0,53,33,0,2,0,10,32,1,5,1,21,0,10,9,157,19
4.2.1.135,184,135,38,122,0,85,57,222,168,78,1,153,109,1,3,32,55,113,69,20,124,49,17,3,8,241,64
2.6.1.34,335,76,23,276,0,185,90,143,23,0,1,190,0,89,63,64,90,83,269,42,97,55,62,56,24,125,23
2.4.99.19,233,45,70,171,0,125,56,85,126,36,436,159,181,69,253,61,74,171,211,8,56,73,46,7,10,248,78
1.1.5.6,160,106,55,1131,1,107,151,90,398,89,1,72,42,54,75,56,181,93,165,48,62,158,47,59,20,112,294
2.1.1.137,4,106,5,113,6,26,84,44,65,15,5,28,86,14,9,2,20,34,22,55,57,46,28,26,4,67,56
1.1.1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2.6.1.92,0,41,6,9,51,0,10,2,1,0,0,9,0,0,0,0,6,2,0,0,2,10,15,5,0,0,29
3.6.1.57,22,32,29,52,0,2,43,37,92,189,1,16,92,22,7,1,26,42,6,44,40,48,24,17,59,26,56
2.5.1.97,11,51,37,76,3,60,16,30,90,6,20,618,24,1,4,1,83,77,9,129,7,231,34,736,37,131,347
2.2.1.11,1,3,0,14,0,4,0,5,3,0,0,9,42,0,0,0,0,0,62,7,0,6,16,9,0,0,0
2.4.2.46,3,131,273,384,1,1137,1020,497,147,89,82,249,55,87,83,97,64,355,5,27,11,68,22,176,5,187,180
3.4.21.1,3,2,0,1,0,0,0,0,10,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
1.12.99.-,0,0,24,4,0,1,1,2,68,122,0,15,11,34,0,0,4,7,4,27,41,51,40,12,3,27,58
6.3.1.13,1,2,2,3,0,1,5,6,3,3,0,15,8,0,0,1,6,0,5,7,0,9,0,6,13,5,3
2.8.4.3,140,25,198,257,0,1128,370,232,135,1,0,78,61,223,0,112,49,283,2,104,1,93,2,10,3,28,160
2.4.2.47,59,145,936,888,16,2377,1247,813,1570,742,720,908,1991,266,33,98,51,1127,40,253,58,211,68,255,27,231,572
2.3.1.122,51,522,569,3494,26,9326,8016,6544,1938,530,360,1828,1589,913,102,531,464,5925,38,338,207,446,86,399,49,1693,3105
3.1.2.27,0,3,21,9,0,0,20,0,0,29,0,1,0,0,0,0,0,12,0,1,0,2,0,45,0,74,26
5.3.99.8,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.5.1.-,12,3,2,7,1,5,17,2,2,26,0,2,3,0,5,0,2,3,5,8,1,8,0,5,0,15,21
1.20.4.3,5,0,11,2,0,0,4,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0
1.3.99.36,1,0,0,0,0,16,42,0,0,0,1,5,0,0,0,0,3,0,0,7,0,0,0,0,7,0,16
1.1.1.317,12,0,93,55,0,376,117,100,11,3,0,27,55,70,1,63,12,54,2,17,1,2,0,36,1,19,84
6.4.1.2,12,247,172,1651,1,1126,1355,1265,102,183,77,187,128,26,49,7,176,432,594,230,180,344,226,41,45,238,706
1.1.1.34,671,5908,246,488,9,353,1388,375,380,113,716,305,320,215,264,291,511,582,608,193,57,148,18,536,185,413,335
2.4.1.32,93,1146,27,224,0,111,164,29,187,22,102,116,226,227,146,266,97,265,4,35,2,14,2,73,33,116,70
2.1.1.104,43,266,11,12,0,1,39,3,2,1,0,44,14,47,0,38,67,35,2,19,20,14,29,38,64,12,92
3.4.13.21,113,324,39,34,0,0,33,31,21,1,0,31,0,50,1,0,0,23,58,191,10,64,7,13,0,0,0
4.1.1.21,19,2354,35,221,0,60,309,102,70,51,47,31,106,32,72,2,94,314,95,14,37,7,24,56,5,20,99
3.7.1.13,90,592,17,67,0,9,154,18,7,2,64,51,1,26,0,0,50,49,0,9,15,19,0,31,16,71,95
3.7.1.17,0,414,3,191,1,94,483,133,36,6,1,115,17,42,15,16,2,352,4,28,9,25,11,9,2,57,94
2.4.1.283,0,130,0,35,0,0,78,18,1,0,0,0,1,71,0,0,0,11,0,10,1,6,6,1,3,0,141
2.1.1.68,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
1.6.5.9,7,724,11,211,0,18,379,132,215,148,1,120,52,110,1,177,55,589,2,28,14,33,3,6,3,3,77
1.1.1.312,288,0,0,55,148,343,41,139,6,21,404,92,128,64,401,153,63,46,109,34,35,30,101,23,86,64,83
2.4.1.60,0,0,0,116,0,52,42,104,42,27,1,1,2,0,0,11,62,40,54,18,8,5,5,2,2,17,63
2.3.1.21,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,1,0,1,0,0,21,39,1
4.1.99.1,11,866,3,753,0,244,945,578,222,129,2,585,39,124,172,224,186,567,191,192,79,167,95,485,101,224,275
2.6.99.3,1,16,37,214,0,1,3,1,3,0,0,40,2,37,234,41,11,21,2,12,0,22,0,136,42,2,60
4.1.1.49,0,174,19,82,0,0,4,0,18,14,0,5,0,49,1,0,33,46,77,14,0,9,0,25,2,49,46
2.7.7.79,0,0,18,0,0,0,10,2,0,0,0,2,0,22,0,0,15,18,0,3,33,5,2,0,21,0,69
5.1.3.21,1,12,63,26,0,1,16,11,32,11,2,15,33,0,3,0,3,20,2,30,4,11,0,24,0,3,37
1.3.98.1,7,1929,98,3248,1,964,600,913,431,83,112,586,275,115,155,130,280,1003,444,297,125,222,75,283,59,511,692
4.3.3.5,0,76,3,29,0,15,42,31,31,1,755,79,4,2,1,1,9,19,1,1,8,11,0,45,4,3,43
2.7.1.72,1,1,2,0,0,0,1,1,2,1,0,5,7,0,0,0,2,0,1,5,0,2,0,9,2,66,1
3.1.4.45,2,3,8,6,0,1,1,8,3,28,0,10,1,1,4,3,4,5,108,10,0,2,24,21,2,9,25
4.1.2.17,4,282,7,16,1,58,137,51,31,22,2,29,0,1,8,7,17,55,2,55,2,45,41,107,3,36,41
5.2.1.13,0,24,2,4,0,0,5,10,1,0,0,103,63,22,0,15,0,28,3,19,6,8,1,27,0,1,21
1.14.13.39,0,1974,6,115,73,53,146,49,23,13,1,4,24,52,0,0,1,157,0,9,15,22,49,13,12,1,18
3.1.4.44,0,178,31,22,0,43,69,46,180,18,62,58,260,31,58,25,39,80,70,22,0,18,4,21,4,0,0
2.1.1.198,19,29,2,28,0,84,5,22,0,0,1,3,27,16,5,19,3,55,0,62,10,36,2,25,0,7,63
2.7.11.30,23,127,21,30,0,0,35,12,5,23,1,8,5,0,0,0,12,34,0,144,2,121,0,0,0,10,8
5.1.3.10,0,1,0,5,0,0,0,0,0,2,0,7,0,0,70,0,11,78,0,10,0,1,0,0,1,0,0
2.7.8.2,0,2,1,0,0,9,24,0,0,0,0,25,25,1,0,0,0,7,0,1,0,3,0,9,0,1,0
5.3.2.3,45,15,94,158,0,195,35,236,76,50,46,56,308,3,1,39,18,48,81,94,0,70,43,28,25,114,46
2.6.1.90,6,108,127,318,1,80,65,103,162,108,527,156,32,1,82,20,46,137,159,88,79,88,25,50,7,83,221
3.1.1.86,0,0,13,0,0,20,1,0,0,2,0,2,0,0,0,0,4,0,0,0,0,8,0,2,0,1,35
6.1.1.7,9,4,25,250,0,16,23,62,24,64,2,56,1,126,1,57,24,58,94,67,119,77,46,17,5,76,371
3.2.1.n1,0,2,2,2,0,3,6,1,2,0,0,3,2,0,2,0,0,1,1,10,1,5,11,1,0,0,0
2.1.1.208,0,1,0,1,0,0,1,0,1,1,0,4,8,0,0,0,0,27,0,2,2,3,30,1,0,23,60
1.10.9.1,0,0,1,13,1,0,123,0,0,0,0,2,18,1,1,42,0,37,3,1,20,2,14,25,42,3,22
3.2.1.91,68,61,89,104,1,56,114,65,81,8,55,55,34,3,99,25,90,33,117,93,4,149,2,110,32,72,150
3.4.24.76,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,31
2.1.1.179,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.4.1.46,0,1,29,7,0,0,0,0,0,1,0,11,0,0,1,0,5,0,77,7,1,1,16,2,0,8,36
1.3.99.31,1,2,3,7,0,15,10,1,27,25,0,4,1,0,0,0,2,15,4,9,0,8,1,11,2,1,3
2.7.1.182,0,0,1,5,0,2,0,0,0,1,0,4,0,0,1,0,0,1,1,7,2,4,26,1,0,0,0
2.7.1.168,34,67,29,4017,0,135,80,55,226,266,107,236,172,3,193,22,172,767,717,181,105,444,161,26,17,47,213
1.1.1.294,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.1.1.251,107,3,23,54,0,20,3,7,8,0,3,1,0,0,0,1,13,14,2,1,13,7,0,3,1,1,26
2.1.1.289,233,200,112,437,0,518,277,271,247,76,124,206,125,74,238,88,369,250,241,157,28,100,28,93,61,108,313
2.7.1.68,102,89,47,502,0,109,110,220,373,247,184,123,152,80,10,41,212,164,115,864,580,505,473,81,115,321,837
2.7.9.3,2,3,0,13,0,19,6,1,4,21,2,15,0,1,1,0,13,5,0,8,0,13,31,21,0,10,1
2.1.1.103,0,69,17,190,0,61,32,19,19,22,2,6,5,0,1,28,55,128,121,122,245,50,261,1,10,7,40
3.1.4.55,0,97,16,0,0,4,0,5,0,0,2,12,2,0,0,0,15,0,0,8,0,13,0,9,1,7,1
3.4.11.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
2.3.1.180,0,0,20,2,0,3,16,1,73,80,0,103,156,28,4,1,63,23,30,32,0,20,2,34,9,4,15
2.4.1.44,1,2,0,32,0,5,8,14,0,0,1,91,3,1,2,0,11,6,1,4,0,9,1,27,6,6,4
1.1.1.65,0,0,3,109,0,100,12,21,3,30,1,12,5,1,0,1,17,6,62,6,11,8,0,27,1,20,19
2.7.7.38,0,34,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,2
4.1.1.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0
3.4.24.56,0,38,0,1,0,1,3,3,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
1.4.3.3,11,0,1,0,0,1,1,0,10,0,2,7,23,6,3,0,56,3,0,0,0,0,0,2,0,2,1
1.14.16.-,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3.6.5.5,1,1,61,61,0,19,12,10,2,3,0,1,0,1,3,0,9,11,1,3,3,9,1,16,7,4,18
1.12.-.-,382,415,790,366,0,193,385,266,145,53,41,235,17,25,2,1,173,177,64,94,13,177,3,614,14,390,345
4.2.1.18,0,0,27,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,4,0
3.1.1.89,0,58,96,34,0,2,1,1,6,14,62,12,4,0,0,0,0,11,3,11,0,16,0,3,5,28,24
1.14.13.72,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2.3.3.15,1,0,4,2,0,1,0,1,2,0,0,9,2,1,0,0,5,1,0,3,0,2,0,1,1,4,21
3.7.1.8,0,0,22,1,0,0,2,2,0,0,0,0,0,0,0,23,14,45,0,1,0,2,1,1,0,0,1
1.13.11.57,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0
1.13.11.8,0,1,0,0,0,0,1,0,0,26,0,2,0,0,2,0,0,0,0,9,0,4,3,7,0,0,0
1.3.99.5,1,0,1,1,0,0,5,1,7,0,0,7,0,0,46,1,0,2,1,0,0,4,0,19,0,5,1
5.3.3.1,0,0,0,3,0,7,0,1,7,0,0,1,0,1,0,0,14,0,0,0,0,0,0,0,3,1,0
1.1.1.50,0,0,0,11,0,0,30,5,3,0,0,0,0,0,1,0,1,5,0,1,0,0,0,1,0,7,0
1.13.11.25,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,27,0,0,12,0,12,0,0,1,0,0
3.1.1.75,1,14,0,0,0,11,0,0,0,1,1,2,4,0,1,0,6,0,0,2,0,2,4,3,1,0,1
6.2.1.16,3,1,0,0,0,15,14,16,0,28,0,0,1,1,3,1,23,1,12,1,0,10,0,34,17,2,8
4.2.1.95,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,4,0,5,0,0,0,0,0
3.13.1.3,3,0,2,0,0,1,3,1,0,0,0,4,0,0,1,0,2,1,3,1,0,5,0,1,0,0,0
1.2.1.77,0,1,0,4,0,0,4,11,2,16,0,1,1,0,0,0,0,15,75,0,24,10,0,0,0,1,4
3.2.1.183,0,1,0,6,0,0,2,0,5,5,0,7,0,0,0,0,6,0,63,3,0,0,0,1,0,0,1
2.8.4.2,0,3,0,0,0,1,8,0,1,0,0,1,24,1,0,0,0,1,1,2,0,0,0,1,0,0,2
1.3.1.72,47,3,3,6,1,2,4,1,1,2,2,14,53,1,1,8,21,5,35,8,2,1,0,7,19,1,1
5.5.1.18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.3.3.6,112,9484,718,2644,30,13144,15063,5712,128,9,268,40,20,58,263,115,371,1505,126,67,41,101,55,187,92,416,280
2.3.1.137,0,0,0,36,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,3,0,1,0,0,0,0,1
1.3.1.92,4,29,6,3,0,1,19,4,0,0,0,5,1,4,4,1,11,6,24,6,0,3,0,10,0,4,3
4.1.3.39,3,20,7,0,0,1,0,1,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
1.13.11.16,2,1,0,0,0,0,2,0,0,0,0,8,53,0,1,0,0,0,0,2,0,1,0,6,0,2,2
1.14.18.1,1,34,1,1,0,2,1,0,0,0,0,5,0,0,0,0,1,1,0,1,0,4,0,3,0,1,5
1.4.3.20,0,0,0,0,0,26,0,0,0,0,27,1,0,0,0,0,1,2,0,6,0,5,0,0,0,0,0
1.14.13.106,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,6,0,0,0,2,1
3.4.14.9,7,3,2,0,0,1,3,6,0,1,0,5,2,0,2,1,9,0,0,3,0,3,1,1,1,4,2
2.3.1.5,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,1,0,0,0,2,0,6,0,0,43
5.3.2.8,0,0,0,0,0,0,4,0,0,0,25,2,0,1,0,0,0,11,0,3,0,4,0,2,0,0,1
3.5.1.79,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0
2.1.1.196,0,92,7,56,0,26,60,58,34,2,0,24,5,0,2,2,29,38,1,62,0,45,0,89,30,51,66
6.3.2.31,558,254,26,542,0,628,376,312,364,161,638,120,289,80,479,220,1186,220,164,254,45,106,24,32,58,85,41
2.1.1.15,0,10,1,52,0,0,4,0,59,41,2,0,0,0,0,1,10,46,139,14,20,18,20,3,0,0,10
5.1.1.7,13,3,16,1,0,2,4,2,4,3,0,17,4,2,3,38,1,7,0,6,0,6,1,20,0,1,1
3.4.11.7,101,774,141,360,0,621,597,498,673,336,150,368,300,189,300,813,804,643,55,234,35,74,18,146,61,61,142
3.1.1.4,0,0,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3.1.6.12,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,3,1,2
6.1.1.22,27,1,39,30,0,30,5,61,9,0,1,87,37,0,74,0,26,33,29,20,33,10,3,25,2,10,87
1.1.3.21,2685,2825,3315,725,247,2756,4181,1985,292,337,496,1176,491,123,456,686,2516,2596,508,404,75,872,616,4316,2996,2177,6362
1.13.12.4,134,410,40,133,1,577,602,365,237,39,319,267,96,62,96,317,679,181,547,33,1,80,4,328,75,194,143
2.7.8.13,2,0,1,14,0,0,11,12,2,3,41,146,2,1,0,0,22,30,1,17,0,6,1,34,3,1,51
2.1.1.265,0,1,0,3,0,0,0,0,2,3,0,11,0,0,2,0,1,6,2,3,3,2,0,2,1,0,2
3.2.1.129,1,0,2,2,0,21,4,4,2,0,4,20,5,19,0,0,3,1,4,6,0,19,0,3,2,8,16
2.4.1.141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.99.2,0,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.1.1.10,2,2,2,1,0,3,2,0,7,171,52,90,12,0,7,1,27,3,46,37,0,17,0,107,44,0,41
3.4.24.55,0,0,6,2,0,2,5,1,31,33,6,22,1,24,10,0,4,2,4,28,3,10,8,2,4,0,20
4.2.2.6,2,25,1,1,0,2,1,1,0,0,0,1,0,0,1,4,15,4,0,56,5,208,26,2,1,0,1
3.1.21.1,56,55,24,8,0,4,5,8,9,4,6,5,9,20,2,5,8,12,46,32,0,39,4,7,1,34,128
1.16.1.3,0,0,1,0,0,4,0,0,0,0,3,12,1,0,0,0,0,0,0,1,0,2,0,2,2,0,0
6.3.2.4,0,1,8,2,0,1,7,5,2,2,0,21,0,3,1,1,18,17,0,4,7,2,1,10,5,5,2
1.1.1.267,3,4,4,0,0,1,0,2,0,4,0,2,0,1,10,4,0,0,0,1,0,0,1,1,3,3,14
2.7.1.73,0,0,0,0,0,4,2,0,2,1,0,8,25,0,1,23,2,2,0,2,0,5,0,4,0,0,25
3.1.27.6,1,0,1,11,0,29,11,0,2,0,1,14,1,3,5,17,40,1,0,12,0,5,0,37,1,3,1
3.1.25.-,0,0,21,5,0,1,0,1,1,0,0,4,3,0,1,0,0,4,0,0,0,0,0,5,0,0,1
2.7.1.29,4,1,2,1,0,1,6,4,2,0,1,10,2,2,2,0,2,4,0,0,0,3,0,4,1,3,62
2.6.1.66,47,185,1,11,0,4,136,61,13,16,0,29,44,2,4,33,3,9,3,2,1,6,3,32,7,83,33
3.6.1.26,134,110,6,1,69,0,2,0,0,1,0,6,2,0,2,0,54,17,0,7,6,10,0,9,5,0,0
2.7.7.77,0,0,0,3,0,0,0,0,7,0,0,8,0,0,1,0,0,1,0,2,0,11,0,28,0,3,2
3.4.17.19,3,1,4,1,0,5,51,4,7,3,0,19,1,0,0,0,26,9,1,11,0,9,0,32,3,8,7
2.4.1.216,13,11,31,9,0,21,9,5,15,17,3,239,1,2,2,2,54,39,202,22,1,25,3,130,24,12,79
1.14.99.44,0,0,0,0,0,0,2,0,0,0,0,80,0,0,0,0,13,0,0,1,0,8,1,17,0,0,17
4.1.1.36,73,296,71,158,0,886,485,270,188,101,30,145,58,27,5,17,165,299,19,36,7,30,2,166,21,84,211
1.1.1.350,1,0,23,15,0,15,8,5,15,1,1,9,2,1,2,4,15,1,0,27,1,36,1,27,2,9,2
3.2.1.85,1,0,5,631,0,54,366,1298,13,14,1,4,0,0,1,0,15,64,1,676,12,1919,24,1,0,142,3
3.1.2.6,0,1,0,0,0,9,0,1,0,0,0,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,1
